year,quarter,agg_level,State,MHire,MSep,MJobStart,MJobEnd,EEHire,EESep,AQHire,AQSep,J2JHire,J2JSep,NEHire,ENSep,NEPersist,ENPersist,NEFullQ,ENFullQ,MainB,MainE,EESepS,EEHireS,AQSepS,AQHireS,NEPersistS,ENPersistS,JobStayS,MainBS,MainES,NEHireSEarn_Dest,ENSepSEarn_Orig,JobStaySEarn_Orig,JobStaySEarn_Dest,EESepSEarn_Orig,EEHireSEarn_Dest,AQSepSEarn_Orig,AQHireSEarn_Dest
2005,1,1025,1,1460313,1347598,1579629,1498765,410547,414598,226625,218377,637173,632975,958593,874483,731968,656106,651802,595659,13211564,13293034,226818,223612,98453,107810,494830,447829,10641611,11679572,11771409,6216,8423,13710,13112,10575,10733,9203,9945
2005,2,1025,1,1739479,1522792,1865934,1687060,492435,499441,214024,242559,706459,742000,1144006,958377,929982,715818,857536,645979,13293002,13472007,273347,268764,123627,95328,583234,516830,10607529,11832958,11785272,6555,7538,12998,12879,9379,10742,8494,9365
2005,3,1025,1,1789508,1687529,1916780,1855303,564567,573799,236369,234429,800936,808227,1116725,1044666,880356,810237,793577,733920,13473808,13536029,313197,305933,109786,119514,581253,516594,10490746,11734340,11922745,6344,7619,12890,13409,9307,10635,8341,9329
2005,4,1025,1,1577818,1614780,1712160,1771236,480322,486141,229017,239758,709339,725899,1005047,1056632,776030,816874,685946,752278,13538534,13478420,257432,253048,112399,105712,533734,538423,10550312,11748799,12050824,5948,8113,13285,14244,9757,10374,10202,8679
2006,1,1025,1,1547603,1428705,1669897,1587559,459408,464250,234260,228092,693668,692341,991347,903401,757086,675309,675960,610046,13477572,13559583,255957,252607,103642,108978,510395,458155,10798586,11899945,11969072,6489,8520,13980,14380,10396,10962,9395,10355
2006,2,1025,1,1762766,1591761,1895527,1759311,511174,525469,223989,246215,735163,771685,1148292,997510,924303,751295,848679,678990,13560210,13696515,292432,280611,125264,100594,579956,534855,10742480,12013230,12016753,6517,8210,14247,13424,10618,10819,9156,9348
2006,3,1025,1,1716588,1681446,1850999,1850667,537972,548212,238800,237335,776772,785547,1073044,1060975,834244,823640,750129,744128,13699045,13699275,299604,291990,110948,120278,546265,518684,10699525,11936138,12085031,6566,7632,13412,13421,9706,11061,8520,9668
2006,4,1025,1,1541935,1615836,1679554,1771439,460937,467288,231112,242083,692049,709371,989554,1074152,758442,832069,672720,766166,13701776,13610284,251806,247299,116267,107041,521697,554596,10769528,11985449,12214666,6002,8293,13284,14792,9917,10923,10383,8948
2007,1,1025,1,1522494,1396764,1648448,1557697,428818,431215,237812,225007,666630,656223,996516,903737,758705,678730,676771,613805,13613471,13703772,238470,236183,103336,113126,516710,459737,10987720,12070818,12162845,6902,8763,14547,14889,10928,11503,9982,10734
2007,2,1025,1,1703618,1541693,1837221,1707784,486914,489414,222512,240711,709426,730125,1115428,982777,892916,742066,818344,669561,13706199,13835556,270184,268949,122447,101355,562833,526647,10950116,12183300,12206924,6732,8517,14753,14056,10867,11373,9966,9563
2007,3,1025,1,1687576,1628884,1822717,1796630,500442,503931,238032,228237,738474,732167,1083088,1052524,845056,824288,761071,749203,13837612,13863167,278439,275618,109293,120377,556424,522716,10923516,12133294,12269520,6940,8222,14010,13945,10527,11787,9238,10240
2007,4,1025,1,1496652,1593312,1636338,1747546,423194,427086,225474,220655,648668,647741,984821,1091318,759347,870663,674420,811015,13865800,13753123,231298,228956,108512,107365,528398,584258,10971576,12177755,12391870,6189,8917,13768,15405,10627,11453,12154,9161
2008,1,1025,1,1365391,1361812,1492889,1513748,369714,371624,217158,209782,586872,581406,907809,927459,690651,717677,618452,658422,13754499,13732871,209230,208190,99016,106141,478791,494632,11192666,12257808,12306669,7050,9882,15115,14966,12266,12408,10842,11767
2008,2,1025,1,1550067,1426873,1680307,1585052,394192,394565,207896,203944,602088,598509,1061694,966775,853799,762831,788407,699640,13736038,13831136,220454,220464,107111,97675,548138,562105,11194968,12370060,12311487,7275,8452,14824,14138,11426,11912,10041,10642
2008,3,1025,1,1409379,1518702,1542652,1669939,393664,397882,200688,182983,594352,580865,928949,1049735,728261,866753,659896,798881,13832782,13703450,219349,217453,91413,105427,481335,571065,11135498,12282395,12195016,7229,8207,14141,14088,11073,12437,9643,10376
2008,4,1025,1,1207888,1508532,1342564,1645338,303558,304634,181557,163675,485115,468309,831638,1132852,650081,969177,587077,921424,13703417,13398855,173311,171910,86240,90502,466524,691410,11100182,12294338,12181276,6307,8895,14004,15189,11305,11517,12571,9177
2009,1,1025,1,980460,1217782,1100927,1343714,225161,225356,162340,150850,387502,376207,690544,933753,528204,782903,479880,737112,13398279,13153714,133845,133874,75829,85097,374837,582545,11188251,12191049,11957381,6802,10615,14964,14452,12840,12503,10920,11797
2009,2,1025,1,1187172,1195904,1304317,1327402,242098,242374,150456,142127,392554,384501,872781,896231,722325,754104,679878,708868,13154697,13130108,141190,141579,78928,75604,475497,598528,11129174,12174555,11901101,6761,8646,14360,13780,11225,11446,10535,9773
2009,3,1025,1,1151412,1228330,1266308,1360389,258760,260382,141099,135211,399858,395594,820366,911466,679267,776255,627040,728242,13134395,13038569,147772,146436,70569,78240,455288,542652,10976404,11947283,11793563,7163,8755,13787,13676,11091,12748,9993,10743
2009,4,1025,1,1078656,1244553,1193772,1369143,234003,234282,134225,141454,368228,375736,778756,953096,644531,811642,593345,773668,13038966,12861947,136072,134867,76224,69072,472017,587205,10884091,11888034,11861792,6056,8864,13591,15360,10833,11427,12779,9046
2010,1,1025,1,1004443,1000640,1112124,1126712,211026,212491,139921,131932,350947,344424,726300,739487,586379,607554,538517,571278,12855064,12839636,126981,126198,65517,74809,420479,448189,10944119,11777462,11714530,7216,9578,15204,14403,12767,12803,11046,12286
2010,2,1025,1,1305736,1126039,1416414,1263448,272135,270664,130912,142340,403046,413004,954601,803221,823689,660881,778512,620518,12840153,12993984,161688,162803,79132,65016,552800,515089,10855635,11836206,11777605,7429,8192,14332,14172,11201,12344,10485,10479
2010,3,1025,1,1281627,1216976,1393404,1356370,306127,305158,142236,138740,448363,443897,894350,856702,752114,717962,694953,669579,12992805,13030423,175796,176413,70890,78340,508688,481339,10745012,11687163,11768286,7586,8157,14202,14187,11272,13540,10010,11304
2010,4,1025,1,1181639,1263173,1299171,1394643,279417,278928,139448,149502,418864,428430,830445,925980,690998,776478,635031,738718,13030937,12936277,163101,163349,78575,70986,507118,543412,10752669,11749190,11920739,6329,8648,14097,16164,11453,12232,12776,9976
2011,1,1025,1,1094169,1017269,1203950,1151912,248346,247926,148207,141108,396554,389035,770474,719902,622267,578794,569261,541880,12937217,12990869,149613,150347,68914,77523,449324,413303,10922241,11755545,11840862,7148,10031,15953,15306,13058,13440,11479,12681
2011,2,1025,1,1391585,1151415,1507636,1298575,311616,309316,142085,155002,453701,464318,993443,787400,851359,632399,804137,590302,12992583,13202471,187529,189721,86581,69729,571976,483233,10901201,11898213,11937550,7380,8711,15173,14696,12148,13378,10777,11417
2011,3,1025,1,1376144,1265909,1492039,1410737,354945,352681,155513,147344,510458,500025,935162,855351,779649,708006,719285,660476,13202019,13283594,206942,208881,74552,87216,538444,468508,10834832,11810182,12041379,7460,9135,14662,15061,11742,13717,10343,11454
2011,4,1025,1,1215926,1243401,1337209,1381905,303220,301292,148757,161879,451977,463171,836892,882823,688135,720945,628824,681479,13284070,13239963,174825,175977,83309,75380,496492,494493,10932494,11907925,12152497,6454,9150,14908,15674,11956,13334,13331,10824
2012,1,1025,1,1180856,1088179,1290647,1226303,295955,294466,162608,156565,458563,451031,805989,743454,643381,586889,587754,546425,13240556,13305944,178489,179845,76968,83805,461167,418758,11136203,12024743,12085889,7240,9634,15475,16145,12517,13386,11554,12951
2012,2,1025,1,1460216,1220910,1579423,1369615,354975,353073,156779,168931,511754,522003,1017255,809515,860477,640584,809687,598076,13307079,13517454,211962,214476,93319,77205,568533,485219,11085220,12125457,12225620,7541,9210,16040,14952,12374,12899,11019,11359
2012,3,1025,1,1449166,1293146,1567078,1444837,382301,378569,169299,159760,551600,538329,975279,857395,805980,697634,743426,647771,13518187,13640916,219836,222654,79324,93442,558086,446104,11076596,12057735,12333698,7751,8552,14934,15016,11487,14791,10343,11823
2012,4,1025,1,1289341,1308158,1411987,1452743,341723,339384,161260,174413,502983,513797,866299,909275,705039,734862,645611,694696,13641722,13600028,198345,199740,89270,80127,505002,502541,11166603,12193154,12451618,6393,9598,14838,17489,12014,12878,13803,10607
2013,1,1025,1,1224651,1150095,1341687,1295065,324339,324168,173936,170851,498274,495019,818071,772290,644135,601439,586362,559012,13604171,13652312,193849,194625,82123,88890,459391,427768,11381511,12315129,12372917,7098,13263,16887,16280,17787,13537,35163,13134
2013,2,1025,1,1542290,1280426,1665808,1440307,398380,397486,170044,181993,568424,579479,1048783,824721,878740,642728,825659,596498,13652083,13877959,236895,238605,101087,81859,571789,485621,11334291,12427555,12462961,7241,9110,16163,15338,12474,12946,11073,11290
2013,3,1025,1,1492838,1415912,1620937,1576664,430157,428969,182198,183071,612355,612039,966846,922101,784647,739030,720868,684639,13875525,13919329,250872,252253,89830,101353,542783,474254,11258931,12333824,12549555,12671,9036,15324,15416,11651,13545,10253,12130
2013,4,1025,1,1393959,1370996,1524228,1524733,384529,382697,183718,186490,568247,569187,922085,923078,738367,736588,673790,693012,13921294,13920057,222828,223713,95762,89971,524455,511079,11340504,12428959,12698812,6497,9420,15251,16923,11932,12961,12804,10620
2014,1,1025,1,1314831,1222831,1438000,1378534,364391,363489,186370,188439,550761,551928,861013,802722,674643,614284,613870,568166,13920252,13980571,214691,215829,89968,95677,479277,428059,11546892,12527120,12634589,7285,10882,16896,17105,13096,13608,12061,13201
2014,2,1025,1,1628140,1347343,1757320,1514423,438883,437797,188241,203213,627123,641009,1087972,847783,899732,644570,841351,595483,13981400,14225173,260948,263153,112265,90070,585975,481050,11527213,12666965,12758751,7692,9822,16947,15821,12389,13182,11446,11558
2014,3,1025,1,1609388,1467919,1742019,1638968,482497,481538,203746,196950,686243,678488,1023073,919479,819327,722529,750715,666678,14225514,14329747,283229,285003,96220,113082,558396,454527,11485513,12597718,12879939,7725,9281,15776,16122,11956,14570,10699,12297
2014,4,1025,1,1484247,1450917,1619306,1613146,442382,440741,197748,202415,640130,643156,948923,943876,751175,741461,681381,695687,14330621,14336898,256661,257321,102383,96727,527405,504029,11584098,12721181,13038647,6682,10235,15928,17696,12171,13302,13392,11225
2015,1,1025,1,1401670,1299900,1532481,1463383,424686,423895,202807,206349,627493,630243,881994,815327,679187,608978,614384,559088,14338635,14408147,248798,249989,99192,102216,481291,418034,11819960,12854386,12980952,7681,10848,17435,17775,13180,13895,12254,13391
2015,2,1025,1,1719964,1428027,1855295,1606844,500226,497139,206483,222367,706709,719505,1109266,865862,902783,643495,843673,590265,14408653,14658231,297341,300366,122047,99332,579904,477482,11799178,13007911,13092803,7936,12299,17506,16661,13301,13838,12244,12071
2015,3,1025,1,1711420,1566365,1852399,1752099,541878,540319,223916,214382,765793,754702,1054187,954372,830272,739989,758022,676962,14658994,14760540,316973,318397,106682,122840,563868,462826,11746232,12938174,13190577,8334,9684,16619,16673,12592,14836,11170,13131
2015,4,1025,1,1571904,1570615,1716459,1741854,501945,501440,214394,225600,716339,727040,969615,995286,755221,769686,681009,719587,14761139,14735287,295111,294917,115813,106612,538291,523697,11816317,13048468,13403849,7149,10326,16502,18731,12566,13280,13810,11727
2016,1,1025,1,1445933,1333011,1586951,1509004,437728,438078,224766,214381,662494,652460,906453,830425,681687,616044,610387,561029,14737969,14817857,259213,259253,103635,115091,481324,424194,12095396,13166132,13338926,7901,11377,18433,17780,13981,14290,12790,13855
2016,2,1025,1,1755028,1480226,1899881,1668493,511630,511746,213558,239973,725188,751719,1128734,899368,915176,659395,853990,600776,14818208,15051980,306646,306847,133735,103089,583679,488517,12113552,13371356,13413383,8434,10744,17590,17099,13025,14510,11964,13106
2016,3,1025,1,1765648,1639016,1912838,1830302,566730,567510,239143,218984,805873,786494,1081121,996266,841978,777281,765819,702871,15051811,15135314,336057,335365,109240,132992,574375,487658,12044698,13296223,13559456,8275,10044,16988,17798,12635,14538,11507,13063
2016,4,1025,1,1523739,1576358,1675346,1751814,481750,483267,217492,235217,699242,718484,943901,1016027,726409,780809,650837,726931,15137064,15060822,277058,275441,122140,108296,511147,527427,12138875,13370339,13686075,7235,10896,17621,18595,13422,13898,14894,11930
2017,1,1025,1,1463390,1375833,1603367,1550098,450478,451183,233418,224235,683896,675418,911669,859517,678251,635282,603735,578735,15057576,15111776,269517,269197,110089,120605,477718,440589,12422857,13533369,13589621,8301,11752,18281,19053,14182,14799,13024,14379
2017,2,1025,1,1801954,1523282,1947530,1709266,532963,531893,222946,241850,755909,773743,1155235,921560,932289,679710,868844,620720,15112216,15351651,317906,318404,133718,109132,588835,506263,12356888,13648555,13689922,8399,10746,18910,17867,13815,14467,12788,12660
2017,3,1025,1,1741484,1663379,1890590,1852534,567763,571146,240403,229051,808166,800197,1059441,1016047,819038,786996,743021,720508,15352413,15392830,335291,333191,112561,132348,555973,485173,12298621,13549983,13803430,8524,10382,17856,17853,13024,14806,12137,13417
2017,4,1025,1,1568300,1589581,1717000,1768464,504743,506634,226848,229389,731591,736022,961690,1009531,734842,780142,659533,726058,15392301,15340886,293888,291394,117770,111490,516497,530974,12398347,13649840,13918867,7614,11179,17640,19668,13527,14755,14434,12668
2018,1,1025,1,1505902,1422862,1649083,1600293,487171,486113,226815,232410,713987,718523,916675,869996,689859,637586,620298,580425,15340716,15391635,290593,291748,114797,115693,485185,442121,12625038,13772431,13843357,8606,12324,19343,20247,14694,15499,13751,14994
2018,2,1025,1,1841467,1549260,1990890,1741535,551061,553035,229848,249589,780909,802624,1173461,924965,943613,675376,877461,617143,15392316,15643726,332448,331135,138205,112964,603460,499447,12573088,13884990,13952336,8907,11931,20044,18678,15207,15382,13934,13602
2018,3,1025,1,1789207,1691964,1943584,1888804,586366,591465,245959,234970,832325,826435,1083388,1021461,837429,786492,761003,708800,15644952,15700380,349024,344892,117858,135484,570133,489391,12515646,13802057,14054394,9234,12459,18572,18471,13905,16012,12997,14526
2018,4,1025,1,1613975,1645077,1766541,1827446,527001,532416,231995,233386,758996,765802,982679,1036940,750684,803554,675072,749778,15701295,15638765,313732,308055,121035,115846,535063,549545,12609207,13911650,14225810,8266,11497,18268,20217,14220,15634,15056,13659
2019,1,1025,1,1479554,1412231,1626799,1594708,471084,475137,229985,235121,701069,710259,905717,869669,675731,634547,595516,578315,15628320,15662345,286001,282818,115923,118236,477514,438664,12871966,14015919,14084839,9588,12203,19912,20556,15742,16656,14897,15359
2019,2,1025,1,1830760,1577883,1986517,1772850,554922,557899,231264,253825,786186,811723,1158091,943154,926827,689330,864780,630289,15662273,15877472,339274,336342,144772,113305,590836,516934,12826353,14181700,14175631,9383,11893,20389,19358,15690,16273,14148,14505
2019,3,1025,1,1777189,1701735,1935466,1901303,583222,591766,249220,242621,832442,834387,1073466,1028463,824245,785843,749567,717837,15877793,15914546,352846,346494,111380,141160,562377,489236,12746528,14045633,14279821,9596,11447,19344,19080,14790,16781,14103,14951
2019,4,1025,1,1610900,1633928,1769068,1818641,521242,526213,238559,208914,759802,735128,984698,1028630,746139,819715,670533,741841,15912070,15862468,291608,286439,112129,108796,462578,560549,12831683,14133582,13686476,9118,11596,18911,21116,15922,17298,16672,14888
2020,1,1025,1,1336753,2174758,1519910,2331765,451400,457363,204392,191475,655792,648839,807356,1611546,602964,1420070,543980,1362782,15856719,15044995,277664,272728,96708,108431,429056,1074664,12480572,14246075,13362990,9242,9939,21441,22089,16632,16366,15453,16071
2020,2,1025,1,1219443,1680680,1361124,1842976,292667,299513,186374,216487,479041,516000,837489,1312907,651115,1096420,597838,1047140,15041532,14558522,181703,177051,125747,93719,429356,890360,12225520,13703937,13123825,10341,10579,22203,20010,19927,19163,15393,15342
2020,3,1025,1,1660899,1434223,1785260,1607083,411285,422676,209615,187625,620900,610301,1145865,956339,936250,768715,884570,714357,14552793,14774069,261029,250747,105873,120606,651203,566505,12157049,13332568,13296528,10226,10256,20058,20726,14866,18468,13412,16332
2020,4,1025,1,1590548,1477647,1716142,1636704,434085,449215,182851,186449,616935,635664,1063121,967520,880270,781071,810703,740590,14773425,14845462,261644,248039,96037,101486,649695,529175,11955925,13110698,13592696,8754,12035,20733,24911,17168,17123,19233,14431
2021,1,1025,1,1348182,1253928,1482812,1425835,388159,399615,176500,202316,564659,601932,863513,796078,687014,593762,618505,546619,14844856,14903772,233343,221783,94882,88067,488724,404475,12254892,13253211,13392525,10407,15560,24284,23645,21713,19294,20510,19159
2021,2,1025,1,1934805,1512112,2074212,1702943,555608,572346,194855,249494,750463,821840,1261947,874850,1067092,625356,1010915,571104,14903445,15276759,352629,338930,141474,89469,729369,473513,12243209,13554571,13566256,10106,13603,23294,23077,18583,18344,16019,17066
2021,3,1025,1,2049558,1710658,2202713,1922717,639033,656193,238826,249395,877858,905588,1279799,979333,1040973,729938,962832,664281,15276315,15556327,393091,379458,128814,134176,725083,461025,12012391,13340830,13853327,10438,13626,23094,23586,17513,20053,15757,17450
2021,4,1025,1,1890652,1704237,2046142,1900022,603698,613853,243102,257301,846800,871155,1172191,1013555,929088,756254,842898,701631,15555963,15704631,364236,353426,132086,123466,679535,492938,12190253,13506159,14218609,9054,14858,23057,26848,18538,19105,22592,15987
2022,1,1025,1,1661697,1486597,1818008,1690022,526941,539704,250565,248699,777506,788403,1017734,876454,767168,627755,680077,569742,15700239,15831023,321694,310785,120862,125964,545132,424122,12619500,13810175,14176424,10744,17123,26029,24551,21755,20691,19038,19383
2022,2,1025,1,1940040,1656399,2100121,1871660,608663,621639,241075,283987,849737,905625,1201221,959866,960147,675879,887451,612700,15832864,16065649,378046,366786,161147,115651,624074,493334,12763417,14169652,14267146,11632,14109,24071,23584,20127,21517,16539,18906
2022,3,1025,1,1934218,1799974,2100578,2016742,645273,664126,273200,249635,918474,913761,1159215,1052028,886015,802393,807262,735624,16065963,16154027,404791,390621,130020,153060,617979,505763,12726068,14122591,14503063,11225,13261,23531,23617,18223,20241,16134,17942
2022,4,1025,1,1581517,1651698,1749213,1850157,506492,516887,241720,240401,748212,757288,968002,1053672,726282,813271,649610,762188,16154047,16054907,304336,295075,128147,124555,530320,553176,12903311,14216780,14650251,9997,14383,23420,25216,18797,19834,19574,16988
2023,1,1025,1,1448470,1405757,1606269,1604542,438628,448976,231988,229419,670616,678394,899810,886164,667822,656745,602535,602780,16055713,16058255,273001,265641,,122459,482849,470600,13290519,14472857,14505512,11224,16098,24754,26251,19470,19323,,19039
2023,2,1025,1,1732705,1553689,1897544,1754826,497287,505979,223934,,721221,,1119374,971167,895440,,838314,,16058607,16206526,,,,,,,13246969,14609738,,,,25958,23832,,,,
