year,quarter,agg_level,State,MHire,MSep,MJobStart,MJobEnd,EEHire,EESep,AQHire,AQSep,J2JHire,J2JSep,NEHire,ENSep,NEPersist,ENPersist,NEFullQ,ENFullQ,MainB,MainE,EESepS,EEHireS,AQSepS,AQHireS,NEPersistS,ENPersistS,JobStayS,MainBS,MainES,NEHireSEarn_Dest,ENSepSEarn_Orig,JobStaySEarn_Orig,JobStaySEarn_Dest,EESepSEarn_Orig,EEHireSEarn_Dest,AQSepSEarn_Orig,AQHireSEarn_Dest
2003,1,1025,2,939081,898215,987602,959012,273496,273420,159050,145183,432546,418603,626183,597699,467133,452515,410595,401874,8121868,8148189,139652,139730,63309,71826,298965,306904,6544572,7199799,7153184,5435,6958,10864,10589,8422,8524,7503,9140
2003,2,1025,2,1036321,994325,1087263,1059785,293509,295303,145101,167138,438610,462441,699842,669420,554740,502283,501038,450415,8149202,8175433,148368,148311,78853,63379,323603,348147,6473072,7209912,7116019,5475,6317,10554,10277,7901,8342,6819,7103
2003,3,1025,2,1032405,1057983,1087160,1122660,329027,331593,165140,151801,494167,483394,660942,692888,495802,541087,437234,488469,8177507,8138937,179447,179478,65969,79325,331404,327724,6415076,7140632,7211397,5469,6251,10289,10433,7731,8689,7024,7246
2003,4,1025,2,931152,927364,984378,987889,272668,270171,151529,156666,424197,426837,620406,627369,468877,470703,412264,427708,8139372,8134098,136276,137092,74471,65847,313884,316778,6438475,7107186,7245177,4955,6611,10331,11383,7895,8434,9228,6757
2004,1,1025,2,959715,890106,1008579,953741,279077,280440,157544,148604,436621,429043,639244,582733,481700,434130,424818,386080,8139810,8191940,145393,145188,65835,74140,310544,293453,6556392,7208875,7206626,5448,7359,11200,11021,8646,8963,7885,9259
2004,2,1025,2,1054600,986112,1106793,1056097,306785,308877,147268,170146,454054,479022,701732,647459,554464,477313,502447,425725,8193246,8243875,158381,157763,81460,65398,324332,327343,6502708,7234316,7163851,5480,6377,10966,10600,8289,8819,7143,7538
2004,3,1025,2,1111764,1080524,1169823,1152071,362859,363747,169434,161646,532294,525393,700190,681471,530756,519825,470773,466747,8245228,8261193,203244,203729,73447,82267,352828,313923,6438573,7191116,7322079,5895,6313,10611,10811,8096,9506,7212,7829
2004,4,1025,2,985819,940309,1039595,1003445,300606,297898,163104,159985,463710,457883,644719,612313,481614,452329,421812,409370,8266413,8302340,152812,154178,73341,74084,323156,291563,6493019,7155666,7399318,4998,6768,10704,12142,8236,8825,8950,7218
2005,1,1025,2,1016799,904272,1068139,973186,307376,306874,164329,151284,471706,458158,663933,569101,499603,417817,439199,368735,8304463,8399435,160258,160367,64780,74930,317311,277552,6660938,7319407,7350111,5662,7477,11954,11420,9133,9553,8182,9569
2005,2,1025,2,1121314,1048980,1175916,1127280,349705,349745,151867,181209,501572,530954,717993,668211,566126,487002,513320,433386,8398889,8446686,179991,181503,85611,65337,324072,329763,6606063,7383607,7312185,5657,6426,11383,11149,8385,9647,7022,7996
2005,3,1025,2,1169491,1134898,1229151,1210232,410197,406861,182064,170811,592260,577672,707451,691956,525387,521144,463553,461948,8447229,8465524,224372,227825,72548,87552,351972,306583,6548951,7326487,7502814,5983,6468,11183,11679,8311,9598,7297,7996
2005,4,1025,2,1094898,963288,1154231,1034733,339797,330494,178417,163247,518215,493741,707726,600548,529309,437302,464338,392438,8466764,8583863,165542,171348,72285,76858,350293,281161,6617864,7297743,7589256,5671,7203,11547,12564,8732,9967,9417,7754
2006,1,1025,2,1120117,995637,1175379,1069673,372322,366694,171844,164959,544166,531653,697714,598146,525870,433187,455984,379559,8585753,8691771,187126,191070,68483,76221,331483,278515,6784437,7491936,7570813,5936,7529,12381,12555,9037,9821,8066,9964
2006,2,1025,2,1234026,1121626,1292840,1202676,408629,405985,167728,192326,576357,598310,769482,681499,601754,489173,543450,431862,8693000,8783488,206360,210213,88496,70597,342626,323248,6760329,7573240,7570574,5884,7266,12492,11880,9294,9849,7616,8192
2006,3,1025,2,1264555,1213042,1329359,1294295,455520,450806,196427,179568,651947,630373,752137,722983,555710,543416,487777,485033,8783062,8817264,246269,250639,75235,92612,364220,312295,6730325,7549101,7790714,6408,6805,11890,11951,8674,10165,7690,8448
2006,4,1025,2,1115254,1026440,1176047,1099738,372523,364694,184331,174848,556854,539543,694239,628422,509908,453574,443702,406492,8814628,8891739,183462,188022,76240,78126,335272,279500,6845217,7551413,7868383,5708,7241,11800,13309,8882,10198,10136,8170
2007,1,1025,2,1159722,1023367,1217556,1101051,388991,383014,183183,173807,572174,556821,717584,608161,534401,434354,468805,376458,8888990,9005721,197709,201992,72129,79988,339256,279275,7041820,7775376,7849841,6226,7877,13098,13249,9586,10277,8664,11058
2007,2,1025,2,1269790,1156559,1330680,1241238,431870,429064,176504,198173,608374,627237,779958,692574,603453,494400,544481,435569,9007443,9096887,218228,221939,90608,74204,340831,325608,7008190,7847223,7849813,5951,7212,13190,12590,9768,10322,8034,8496
2007,3,1025,2,1272913,1246974,1341507,1330895,471928,466303,201715,188083,673643,654386,742703,739710,540988,551627,470699,481317,9094150,9103758,253383,258770,79261,94531,350557,313669,6986218,7825082,8047685,6347,7381,12582,12543,9261,10567,8194,8891
2007,4,1025,2,1162852,1057054,1226523,1132796,393895,384772,194041,177521,587936,562293,718670,638022,524629,460501,456376,412417,9105665,9198798,194214,199418,78625,82535,346570,285286,7101457,7833362,8166930,5613,7590,12373,13898,9271,10514,10452,8406
2008,1,1025,2,1161863,1032508,1222053,1111528,391225,382972,186945,174523,578171,557494,717950,616803,531005,442280,453151,385310,9197303,9308602,196611,201507,73613,82642,340175,277367,7305585,8035052,8157731,6684,8511,13655,13720,10176,10673,9101,10687
2008,2,1025,2,1217476,1151122,1280922,1233593,411954,407076,178102,193458,590057,600534,749778,707992,571676,514534,512940,454399,9308800,9356041,208423,213532,88236,75990,325847,339213,7310466,8146854,8147595,6150,7340,13609,12779,10153,10703,9211,8823
2008,3,1025,2,1206483,1208362,1274465,1288826,437820,428186,198842,172565,636662,600751,714134,740725,515291,568161,451850,508728,9357529,9342898,235845,242706,75590,92998,333422,327978,7316097,8139634,8279313,6505,7260,12773,12768,9709,11090,8345,9171
2008,4,1025,2,1024943,1064019,1090214,1133848,336737,327294,179218,159047,515954,486341,644499,701880,465281,542834,405314,499165,9342683,9298043,168162,173752,75088,79062,312759,348613,7384422,8136174,8313859,5438,8244,12619,13998,9710,10125,10991,8044
2009,1,1025,2,903529,984769,962941,1051634,278723,275642,164546,150019,443269,425661,585151,676498,420605,526479,369659,479094,9297423,9208618,146967,149383,68291,77991,273123,358252,7547140,8272730,8206373,5863,8984,13765,13101,10948,10227,9798,10295
2009,2,1025,2,946849,1001790,1005855,1075517,268085,266073,151388,154117,419473,420190,633507,703283,482119,549165,442837,505410,9207700,9136676,142568,145131,77816,70021,284199,395086,7524353,8304449,8117736,6053,7783,12990,12403,9941,10022,8838,8406
2009,3,1025,2,959726,1018355,1021311,1088876,293630,290557,155979,137510,449609,428067,622508,693494,466529,555984,422044,512504,9137770,9069179,169168,172996,66856,81052,318737,356055,7450669,8191106,8195474,6295,7260,12416,12464,9296,10792,8376,8895
2009,4,1025,2,868344,874174,925435,938827,241534,235964,140668,135897,382201,371861,588519,609685,447851,473788,404466,443925,9069637,9056201,131614,134882,69215,69125,317760,327580,7450465,8110057,8257585,5574,7701,12363,13904,9632,10256,10978,7782
2010,1,1025,2,864540,798605,918462,866148,240404,237674,141087,131670,381491,369344,583670,534775,442584,403106,397829,366701,9058015,9109310,133558,135623,62464,71686,294779,284785,7570115,8189815,8171454,6384,8281,13713,13090,10794,10849,9340,11325
2010,2,1025,2,1044317,937416,1100344,1012636,292660,290422,133452,148473,426112,438895,704078,617878,570626,469405,532137,430492,9108337,9195261,162742,165262,75227,63804,343300,342008,7500625,8244690,8166730,6477,7208,13044,12659,10095,10911,8853,9024
2010,3,1025,2,1046714,1028766,1108700,1103800,336614,332388,151307,147003,487921,479391,662330,663052,511024,516049,462457,473410,9195188,9199945,193215,197434,68940,78111,349755,313747,7421736,8151122,8293639,6748,7286,12698,12875,9749,11794,8555,9594
2010,4,1025,2,965831,906659,1023608,974071,292030,285974,150276,145089,442306,431063,632380,591378,482104,446289,433802,415321,9199700,9249172,160593,164222,71557,70989,339515,300166,7479592,8153029,8403596,5752,7708,12756,14422,10070,11100,11458,8589
2011,1,1025,2,950410,846024,1005938,917696,283220,278951,150457,141391,433678,420342,623222,539802,472765,398411,424077,360283,9249180,9337537,156769,159836,64883,74205,314755,271937,7640992,8283399,8339794,6569,8830,14219,13904,11461,11867,9673,12092
2011,2,1025,2,1104854,998019,1163861,1078733,340726,334943,143820,164183,484547,499127,711814,632337,567994,468154,527541,425765,9335642,9420590,187543,192702,83551,66655,339374,334222,7602498,8385663,8308996,6777,7479,13846,13196,10430,12165,8665,9978
2011,3,1025,2,1148865,1112074,1212383,1191946,395480,389350,167532,155461,563013,544811,700921,687312,533389,531851,481989,488351,9422418,9443251,227351,232702,72014,86424,369853,328086,7521732,8317561,8517885,6940,7559,13247,13725,10249,11866,9030,9708
2011,4,1025,2,995364,926048,1057229,1000003,316025,309502,159287,155839,475312,465342,634091,585699,474804,429860,423776,395821,9444448,9501573,169634,173477,74364,74024,329192,282647,7616492,8295473,8570372,6176,8570,13585,14303,10868,12031,12455,9666
2012,1,1025,2,1056945,932211,1113262,1007795,343508,338633,161558,154528,505066,493161,664677,565110,503119,410582,452048,368070,9500613,9607173,192286,196038,71896,77350,332916,283340,7791830,8505363,8526815,6668,8794,14118,14919,10999,12044,9871,12279
2012,2,1025,2,1201178,1080913,1262340,1163890,392657,387677,157211,177716,549868,565393,753466,659304,596255,481588,550924,437223,9606787,9705287,217947,222238,88159,73959,355292,336981,7716755,8549716,8545372,6400,8283,14872,13569,11502,11922,9458,9766
2012,3,1025,2,1202831,1160323,1268074,1243005,430562,425051,181732,167464,612295,592514,716735,698119,535002,530655,480379,483332,9705758,9731256,249842,254874,75620,92148,365820,315092,7687147,8504657,8737478,6864,7789,13585,13730,10462,12224,9289,10286
2012,4,1025,2,1080137,994241,1142005,1070844,354600,346516,171405,163835,526005,510351,676195,615566,504790,451731,451791,413318,9730699,9801199,190190,195498,78077,77973,346779,297029,7797737,8527946,8796496,6085,8408,13574,15264,10618,12091,11488,9621
2013,1,1025,2,1100528,1005030,1160418,1083825,368407,362604,169669,164848,538076,527452,681142,610726,511474,445877,458326,399458,9799939,9876492,203536,207921,74182,81050,339379,305243,7961530,8720653,8754938,6673,9441,15063,15039,11599,12200,10125,12192
2013,2,1025,2,1235945,1121687,1300237,1210485,408035,402879,166968,187818,575003,590697,769046,683489,602078,495671,554479,446895,9876225,9965465,222421,228183,93274,76301,350913,347626,7911181,8776262,8723220,6646,8118,14986,13967,11461,12193,9442,10097
2013,3,1025,2,1284728,1242809,1353284,1330598,471612,463786,191833,181188,663444,644974,753600,739460,561768,558272,503613,508629,9966720,9989817,272824,280254,81203,97952,385019,333931,7851646,8731271,8955713,6826,8087,13991,14133,10548,12247,9287,10429
2013,4,1025,2,1158539,1035151,1223812,1117570,386420,376027,185804,173386,572224,549413,718685,625559,532882,452172,473994,412181,9990520,10098062,202918,209495,81340,84090,365216,293798,7951909,8705674,9047566,6685,8674,13989,15387,10810,12359,11929,9759
2014,1,1025,2,1157219,1051489,1219841,1133652,400293,391012,181144,181610,581437,572622,703068,627258,521924,445648,465222,395324,10100443,10188068,215141,222167,80434,84994,342393,298375,8161708,8941742,9012022,7049,9261,15148,15771,11712,12664,10412,12693
2014,2,1025,2,1320388,1176429,1386161,1269086,453782,445735,185221,203241,639003,648976,804272,694621,619052,491380,567601,439602,10187936,10304896,243576,250517,98720,83148,358744,340680,8131265,9030337,8999570,6790,8735,15698,14449,11534,12396,9763,10328
2014,3,1025,2,1378610,1305412,1450646,1399069,526932,515955,209054,196748,735986,712704,787037,747268,577982,550519,514370,495630,10304556,10356067,297950,307628,86042,104292,390858,321406,8070860,8984340,9232488,7311,8682,14483,14677,10805,12912,9612,10977
2014,4,1025,2,1257589,1124724,1325762,1212545,452089,437819,203718,181547,655807,619366,747715,651060,543997,469513,479597,426656,10356476,10470471,234202,242686,84471,90251,366368,301254,8166296,8978186,9348253,6249,9046,14515,16079,11041,12440,12621,10019
2015,1,1025,2,1171532,1122647,1239360,1211333,419228,412968,189136,196223,608364,609191,696402,673248,507266,477025,447522,421056,10470636,10498473,222229,227481,84409,88131,332065,312639,8394084,9213258,9263469,7121,10239,15813,16230,12029,12498,11615,13075
2015,2,1025,2,1324278,1235740,1394340,1330361,459185,456677,196368,215470,655553,672147,802869,740185,606501,524715,555654,468910,10499453,10563198,248680,253621,106040,85687,349857,368929,8375748,9328188,9209733,6741,9397,16100,15040,11707,12320,10700,10532
2015,3,1025,2,1382771,1353369,1458604,1449958,525800,520827,217579,204980,743378,725807,792050,788344,574472,583364,510943,523674,10562769,10570728,298687,304670,93133,110106,385236,348416,8280790,9239195,9400218,7421,8988,15060,14822,10935,12998,9869,11598
2015,4,1025,2,1249780,1171408,1320119,1260030,442897,436239,208442,192552,651339,628791,749407,697789,540965,505237,476735,459055,10570268,10631682,234304,238739,91102,95242,368570,329766,8339554,9187882,9509383,6203,9370,14655,16465,11260,12101,12654,9614
2016,1,1025,2,1161817,1123213,1232329,1213226,403171,400800,197921,192835,601092,593636,702448,684823,504527,491987,443119,437019,10630300,10649606,216654,218703,83814,93477,329314,331110,8549757,9381191,9413481,6825,11237,16183,15757,12343,12390,11181,12792
2016,2,1025,2,1314698,1237101,1385672,1334164,445801,443898,193569,218525,639371,662423,805637,754206,612067,535682,559881,477483,10649883,10702301,240119,242884,109007,84658,349315,379120,8530530,9488645,9322916,7129,9341,15633,14805,11457,12682,9987,10796
2016,3,1025,2,1400903,1380026,1476745,1475869,529492,528137,219434,205767,748926,733905,807202,807618,587768,601851,523449,541990,10703458,10704721,302859,305922,93406,111729,398442,362487,8411604,9388786,9564015,7232,9061,14836,15401,10875,12434,10127,10854
2016,4,1025,2,1214764,1140955,1288400,1230292,418275,413522,208234,202112,626509,615634,739670,688923,531436,486811,465208,439039,10705056,10766321,215541,217932,95605,94830,355495,313535,8486517,9303871,9616231,6539,9768,15222,15989,11710,12699,13211,10396
2017,1,1025,2,1240853,1150553,1309906,1241772,437886,434210,206685,200187,644571,634398,744167,679462,537482,479275,473966,424030,10762489,10831877,235900,238689,89622,97488,350192,320626,8694175,9548782,9556412,7285,10319,15721,16696,11934,12795,10897,13290
2017,2,1025,2,1383065,1276165,1454684,1374558,483258,482961,200061,215971,683319,698932,835255,753201,635194,537230,578709,480162,10831904,10911779,261699,264240,104479,89996,366078,374502,8617440,9590613,9540062,7324,9423,16624,15219,12168,12802,10555,11023
2017,3,1025,2,1383014,1372420,1460512,1470402,531772,528837,216888,209733,748660,738570,786000,798911,569112,589178,505128,529635,10911882,10902871,302474,306291,92776,107049,380638,345167,8568618,9528781,9730666,7541,8871,15233,15250,11437,13216,10370,11386
2017,4,1025,2,1293177,1172462,1365589,1266667,455472,446657,214417,199001,669889,645658,775704,688543,561287,489542,494244,442348,10899099,10997975,236151,240634,92160,94781,378361,319405,8660949,9515769,9814761,6727,9391,15118,16507,11357,13078,12443,10879
2018,1,1025,2,1281042,1183196,1352851,1279138,469585,466192,204313,203728,673898,669920,750072,679379,545759,475651,479466,418607,10995170,11069030,252058,255434,89293,94336,355163,313301,8833427,9702808,9758798,7711,10355,16294,17360,12454,13518,11399,13532
2018,2,1025,2,1444322,1310705,1518663,1414367,520704,516079,204886,227923,725591,744002,854615,753382,649729,525458,592213,468191,11069106,11174706,278360,283528,111492,90860,373321,363903,8790929,9788371,9748819,7458,9726,17263,15724,12466,13310,10899,11393
2018,3,1025,2,1485430,1426846,1567677,1529958,580725,573825,233348,214335,814073,788161,835149,804485,601801,590149,533219,529736,11175622,11215416,327818,334269,94787,116427,404816,341384,8736253,9731033,10005702,8152,9331,15747,15743,11784,13773,10728,11902
2018,4,1025,2,1307685,1211011,1382343,1305255,482783,472150,218837,202660,701621,674809,763920,699723,545082,497063,477955,448506,11215675,11296256,249502,255228,94145,97345,366980,316044,8862674,9729336,10097853,7215,9699,15574,17068,11911,13676,13598,11421
2019,1,1025,2,1276839,1199137,1349174,1294267,475981,470649,209339,210005,685320,680654,739793,689936,530454,479931,466714,420770,11296987,11354511,256684,261373,92031,97095,348821,315909,9104787,9987062,10033188,7948,10965,16810,17873,13115,14078,12203,14437
2019,2,1025,2,1450510,1321756,1525572,1426142,522335,516770,212691,231728,735025,748498,858912,763381,646222,531653,589101,471400,11355041,11455558,281292,286738,114669,93973,371329,371702,9059739,10076685,9998387,8300,10058,17794,16209,13156,13887,11136,12062
2019,3,1025,2,1490932,1457926,1572725,1562073,589326,582432,236801,220480,826127,802912,830964,827765,594163,607285,525588,544729,11456131,11468724,335767,342477,92443,119097,401476,354938,8981061,10004164,10224020,8004,9572,16265,16323,12260,14336,11390,12081
2019,4,1025,2,1327517,1245821,1404243,1343326,486304,476849,225280,190338,711583,667186,778150,728345,552871,538007,482784,472467,11468466,11531546,244607,250631,92004,95571,336979,349426,9070695,9976166,10022153,7782,10701,16181,17686,12651,14402,13701,11821
2020,1,1025,2,1162106,1509921,1245308,1592852,448071,441608,197527,173257,645598,614865,666099,1021029,468572,847772,411743,795088,11532737,11186032,244953,250104,77337,95339,321832,591160,9085083,10204048,9892133,7705,9588,17674,18528,13562,13582,11774,13592
2020,2,1025,2,995818,1294462,1064983,1382575,288768,288273,175300,197671,464068,485944,653867,969174,478566,771503,428894,719899,11186056,10868882,158102,160932,100371,78872,286542,589145,8985687,10023589,9622926,8049,11627,18406,16067,14888,14855,12476,11802
2020,3,1025,2,1341265,1246663,1407908,1341328,435188,427833,199747,186497,634935,614330,843458,783997,643710,597501,597413,541659,10868466,10944362,256409,262758,94207,103654,442081,420772,8900521,9872442,9794070,8129,9477,16139,16554,11451,15234,10526,13553
2020,4,1025,2,1334386,1151026,1399211,1237702,421999,409956,190075,173855,612074,583811,854396,707596,664321,533741,596544,491391,10944030,11122287,219668,227417,81297,96522,465438,358967,8774338,9601510,10029370,7411,10806,16495,19071,12437,14941,16293,11739
2021,1,1025,2,1173857,1092158,1243909,1186934,391228,382798,181691,193662,572920,576460,723429,674151,541737,480489,475285,426821,11121505,11178209,199216,206017,80139,85135,356424,314289,8992802,9785454,9839766,9096,12631,18733,18377,14843,16157,13745,16937
2021,2,1025,2,1562734,1337964,1632657,1442626,552868,544857,196485,235773,749353,780630,938796,754685,742311,518912,687266,458640,11178726,11369869,305016,314206,116196,82794,446856,374785,8946825,10004009,9856242,8694,10631,18271,17716,13204,15461,11443,13825
2021,3,1025,2,1731291,1513365,1813759,1629108,648593,633632,241537,231709,890130,865340,1000633,832919,759096,601210,682683,536298,11370501,11557396,361272,374200,104121,122462,515815,354312,8737540,9805578,10146911,9620,10560,17876,18242,13317,16978,12015,14371
2021,4,1025,2,1590137,1409501,1668294,1514461,596782,580846,239795,232163,836577,813010,921804,785792,682009,553628,594157,499506,11556475,11711967,313507,325407,106961,109218,471743,355877,8818285,9822798,10425900,8326,12323,18018,20548,13969,16294,15047,13599
2022,1,1025,2,1458697,1285382,1539540,1399241,534560,524957,242316,231876,776876,756833,848948,717961,606632,486085,526432,425404,11712245,11853542,286627,295261,98836,112994,402557,309147,9185562,10120187,10394422,9617,13058,20121,20345,15856,17182,14624,17266
2022,2,1025,2,1704152,1458329,1786202,1580684,620601,610459,235902,263865,856503,874324,999512,803566,763610,539702,696803,475100,11853669,12061293,341703,351151,131919,102038,461595,371573,9267661,10392961,10444408,10209,11229,20126,18726,15255,17973,12477,15295
2022,3,1025,2,1767852,1616373,1859868,1740328,708155,698331,270126,237062,978281,935393,974576,865662,704450,628600,626347,563884,12060555,12183649,411005,420999,106867,138077,495842,362792,9210824,10353144,10865425,9807,10897,18816,19670,14404,16965,13176,14438
2022,4,1025,2,1430035,1318209,1519736,1429126,525148,516931,241688,231560,766837,748491,836250,757175,594561,525615,518033,473301,12183996,12277355,276473,281626,109866,109906,412283,336105,9460169,10411829,10964754,9152,12033,19484,20303,15285,17209,16315,14451
2023,1,1025,2,1418240,1311978,1501078,1421125,515022,511060,238682,223609,753704,734669,833928,757791,595246,534183,526024,475345,12276327,12357959,285686,290280,,113720,406661,365245,9846548,10843519,10959366,9676,12759,19970,21804,15225,16657,,17049
2023,2,1025,2,1548979,1398290,1634974,1519146,546156,541229,225604,,771760,,924265,811750,698661,,639036,,12357265,12477532,,,,,,,9846018,10936785,,,,21672,19297,,,,
